date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,360559547.64,420385784.89,-6690714.95,14607054.06,-442655.46
2026-06-02,354343611.68,411595792.25,-6215935.95,14886610.00,279555.94
2026-06-03,354759708.88,393446653.49,416097.20,16765693.96,1879083.96
2026-06-04,342592163.35,374642811.50,-12167545.54,16046777.76,-718916.20
2026-06-05,331903392.84,357903012.97,-10688770.51,17220509.11,1173731.35
2026-06-06,331595038.24,338057941.17,-308354.59,17280942.13,60433.02
2026-06-07,325089605.77,328012570.75,-6505432.47,15796778.06,-1484164.07
2026-06-08,328254135.40,345556240.34,3164529.62,15004941.40,-791836.66
2026-06-09,335749284.60,350138266.83,7495149.20,15387357.23,382415.83
2026-06-10,334736259.11,345376367.14,-1013025.49,17882937.07,2495579.84
2026-06-11,332802687.58,342820720.47,-1933571.53,17920026.33,37089.26
2026-06-12,326121745.71,339986551.47,-6680941.87,16284148.21,-1635878.12
2026-06-13,322679865.56,335852982.51,-3441880.16,17954465.66,1670317.45
2026-06-14,325014654.02,340602135.16,2334788.46,17040882.47,-913583.19
2026-06-15,332956169.38,353223680.77,7941515.36,17042673.27,1790.80
2026-06-16,336999388.37,363694083.68,4043219.00,15420554.67,-1622118.60
2026-06-17,342525782.63,368881456.50,5526394.26,16010076.19,589521.52
2026-06-18,340860346.64,362723440.30,-1665436.00,15059442.71,-950633.48
2026-06-19,345146238.21,361809610.69,4285891.58,17680232.45,2620789.74
2026-06-20,339608295.14,356761842.74,-5537943.07,14946510.73,-2733721.73
2026-06-21,351531520.19,371898559.59,11923225.05,14223958.18,-722552.55
2026-06-22,347894456.26,364747009.16,-3637063.93,14198306.18,-25651.99
2026-06-23,346954874.14,366074473.16,-939582.12,16529011.37,2330705.18
2026-06-24,351594396.29,363348736.47,4639522.14,19382329.64,2853318.27
2026-06-25,357478536.07,365311547.28,5884139.79,18310207.07,-1072122.57
2026-06-26,366580844.55,368258379.19,9102308.47,17738987.42,-571219.64
2026-06-27,364996225.22,368204344.65,-1584619.33,17526446.19,-212541.23
2026-06-28,371912764.39,375268965.11,6916539.17,17838764.26,312318.07
2026-06-29,376368303.78,378131427.90,4455539.39,17015596.75,-823167.51
2026-06-30,383403999.02,388336244.80,7035695.23,16478507.37,-537089.38
