date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,3265371426.96,3793222411.21,314996.74,193849002.13,-17466.94
2026-06-02,3306033531.56,3784242420.32,40662104.60,196322919.32,2473917.19
2026-06-03,3250312242.72,3562878443.24,-55721288.84,199326934.17,3004014.85
2026-06-04,3228537832.87,3469989477.13,-21774409.86,205235866.78,5908932.61
2026-06-05,3220012737.14,3429845952.60,-8525095.73,207356014.56,2120147.78
2026-06-06,3201584100.87,3266478040.26,-18428636.26,206303308.12,-1052706.44
2026-06-07,3215413357.17,3259025985.36,13829256.30,197672894.28,-8630413.84
2026-06-08,3279602502.04,3439103592.48,64189144.87,179985973.85,-17686920.43
2026-06-09,3199176945.66,3331302266.60,-80425556.38,177438018.32,-2547955.52
2026-06-10,3209717005.03,3313945939.64,10540059.37,177452366.47,14348.15
2026-06-11,3211768805.73,3308171121.00,2051800.70,176643219.43,-809147.04
2026-06-12,3209696527.73,3369673246.11,-2072278.00,177491473.02,848253.60
2026-06-13,3269668380.40,3425374920.99,59971852.67,177304172.47,-187300.56
2026-06-14,3262264303.68,3444727541.28,-7404076.73,177315576.14,11403.67
2026-06-15,3267818728.53,3495048727.66,5554424.85,177631424.59,315848.45
2026-06-16,3287486830.82,3558460579.84,19668102.30,175734561.79,-1896862.80
2026-06-17,3331180738.90,3590874338.45,43693908.08,176709385.01,974823.22
2026-06-18,3358926131.15,3565228604.33,27745392.25,176670957.74,-38427.26
2026-06-19,3334000372.17,3489186968.82,-24925758.98,176992454.53,321496.78
2026-06-20,3345757160.48,3513381951.19,11756788.31,178485312.02,1492857.49
2026-06-21,3288276653.71,3452610966.86,-57480506.77,179122304.16,636992.14
2026-06-22,3282092382.31,3420335003.55,-6184271.40,179695342.10,573037.94
2026-06-23,3271532571.10,3427447670.42,-10559811.20,181099978.09,1404635.99
2026-06-24,3287297426.45,3389036147.45,15764855.35,202202511.03,21102532.94
2026-06-25,3303754118.88,3341498462.03,16456692.43,198530262.82,-3672248.21
2026-06-26,3292181024.67,3271561532.36,-11573094.21,197075985.65,-1454277.17
2026-06-27,3292920762.37,3287742822.44,739737.69,198657073.68,1581088.02
2026-06-28,3284414666.35,3278875418.53,-8506096.01,199074128.81,417055.13
2026-06-29,3287767802.99,3266888610.42,3353136.64,200761154.67,1687025.86
2026-06-30,3285389736.87,3288446701.67,-2378066.12,200933727.73,172573.06
