date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-06-01,2939204294.53,3605653351.10,-6582896.50,40493698.23,771845.09
2026-06-02,2888815885.84,3518729141.53,-50388408.69,40192196.02,-301502.21
2026-06-03,3001894327.67,3434093607.25,113078441.83,42839699.84,2647503.82
2026-06-04,3173524509.65,3554110941.27,171630181.98,41771770.43,-1067929.40
2026-06-05,3056072188.62,3370833546.14,-117452321.03,46251231.83,4479461.39
2026-06-06,2987237732.97,3040970400.32,-68834455.66,40124661.01,-6126570.82
2026-06-07,3125749639.95,3129692693.38,138511906.99,41509768.00,1385106.99
2026-06-08,3188104626.90,3388868645.60,62354986.95,42293717.69,783949.69
2026-06-09,3155273867.12,3358353851.45,-32830759.78,49348324.58,7054606.89
2026-06-10,3210483766.08,3334477188.42,55209898.96,49217365.75,-130958.83
2026-06-11,3170140546.34,3268254477.40,-40343219.74,49217365.75,0.00
2026-06-12,3184472743.31,3365936264.09,14332196.98,48915863.54,-301502.21
2026-06-13,3168186417.03,3340984400.53,-16286326.28,48915863.54,0.00
2026-06-14,3170645400.79,3376207407.05,2458983.76,48915863.54,0.00
2026-06-15,3155643468.57,3428913649.33,-15001932.22,48915863.54,0.00
2026-06-16,3111113552.24,3473752346.61,-44529916.32,48915863.54,0.00
2026-06-17,3121171422.28,3479486108.91,10057870.04,55705686.14,6789822.60
2026-06-18,3140148721.26,3434173446.84,18977298.98,57278457.21,1572771.06
2026-06-19,3143145099.05,3372940562.89,2996377.79,57467972.88,189515.67
2026-06-20,3135388007.89,3367233153.74,-7757091.16,57467972.88,0.00
2026-06-21,3190243474.64,3474091429.49,54855466.75,57467972.88,0.00
2026-06-22,3193387838.80,3440564816.60,3144364.16,57467972.88,0.00
2026-06-23,3238220848.58,3506497503.10,44833009.78,57473466.75,5493.87
2026-06-24,3175724301.60,3350519327.91,-62496546.98,57602703.93,129237.18
2026-06-25,3183558141.27,3273411719.30,7833839.67,57602703.93,0.00
2026-06-26,3330024312.58,3332028713.70,146466171.31,57542403.49,-60300.44
2026-06-27,3408655684.33,3430664984.75,78631371.76,57542317.35,-86.14
2026-06-28,3392623991.90,3414462344.96,-16031692.43,57542317.35,0.00
2026-06-29,3402736385.73,3404317957.67,10112393.83,60445134.81,2902817.46
2026-06-30,3360393055.98,3445415998.63,-42343329.75,64776719.62,4331584.81
