date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,10621602896.57,9384732855.72,-94555871.51,2009301293.59,-4133014.36
2026-07-02,10677596060.59,9679558413.76,55993164.02,2018607785.95,9306492.36
2026-07-03,10801299554.75,10139848485.39,123703494.16,2038742070.38,20134284.43
2026-07-04,10786183648.33,10378303638.76,-15115906.42,2039654913.49,912843.11
2026-07-05,10796067624.54,10469962437.13,9883976.20,2039817152.62,162239.14
2026-07-06,10760356093.62,10481280069.71,-35711530.92,2039901650.16,84497.54
2026-07-07,10708257205.50,10538224110.67,-52098888.13,2039320568.46,-581081.70
2026-07-08,10574905563.81,10264405539.34,-133351641.69,2030026105.34,-9294463.12
2026-07-09,10650679633.31,10168563421.55,75774069.51,2027605222.90,-2420882.44
2026-07-10,10437393524.85,10019114793.42,-213286108.46,2004584585.61,-23020637.30
2026-07-11,11028242071.19,10825319775.54,590848546.34,1992631976.23,-11952609.38
2026-07-12,11016276653.97,10787620974.75,-11965417.22,1992504434.96,-127541.27
2026-07-13,11018320438.36,10900735064.52,2043784.39,1993484375.41,979940.45
2026-07-14,11039418239.07,10666307584.85,21097800.71,2010184301.67,16699926.26
2026-07-15,11110127515.52,11270562933.24,70709276.45,2006461586.62,-3722715.05
2026-07-16,11125014623.43,11358242085.12,14887107.90,2005741339.65,-720246.97
2026-07-17,11143960151.50,11140946971.37,18945528.08,2005607436.13,-133903.52
2026-07-18,11227200724.65,11166923545.01,83240573.15,2002841077.06,-2766359.07
2026-07-19,11232825603.41,11278527656.46,5624878.76,2005605903.25,2764826.20
2026-07-20,11243905663.15,11339384237.57,11080059.74,2005605292.58,-610.67
2026-07-21,11272931873.12,11532171715.24,29026209.97,2000549093.37,-5056199.21
2026-07-22,11228778249.20,11635191671.90,-44153623.91,2054217778.00,53668684.63
2026-07-23,11193988250.36,11550421820.91,-34789998.84,2180603301.74,126385523.74
2026-07-24,11213721319.93,11316103180.37,19733069.57,2276616538.87,96013237.14
2026-07-25,11261588042.77,11275206638.29,47866722.84,2275280244.55,-1336294.32
2026-07-26,11318904522.41,11383300948.68,57316479.63,2275174522.91,-105721.64
2026-07-27,11343554406.06,11718231702.94,24649883.65,2275120005.59,-54517.32
2026-07-28,11325002968.54,11403103360.17,-18551437.51,2273732343.05,-1387662.54
2026-07-29,11329020654.41,11517103141.50,4017685.87,2283020457.33,9288114.28
2026-07-30,11347385898.30,11491639582.08,18365243.89,2281754959.88,-1265497.45
2026-07-31,11364944072.30,11586026623.07,17558174.00,2298382530.19,16627570.31
