date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,1042907161.26,932508337.28,1679601.80,14299710.61,0.00
2026-07-02,1051184880.89,963408063.67,8277719.62,14299710.61,0.00
2026-07-03,1052502748.59,995111968.02,1317867.70,14299710.61,0.00
2026-07-04,1052495888.85,1017295626.79,-6859.74,14299710.61,0.00
2026-07-05,1052420290.00,1024415264.36,-75598.85,14299710.61,0.00
2026-07-06,1057698817.53,1033976771.11,5278527.53,14299710.61,0.00
2026-07-07,1053841709.25,1040332618.49,-3857108.28,14299689.93,-20.68
2026-07-08,1053261256.09,1027507092.16,-580453.17,14262253.85,-37436.08
2026-07-09,1059578354.13,1014952692.31,6317098.04,14262253.85,0.00
2026-07-10,1061252336.55,1022621681.43,1673982.42,14262253.85,0.00
2026-07-11,1059392604.72,1042273614.45,-1859731.83,14262253.85,0.00
2026-07-12,1070916877.81,1049530503.23,11524273.09,14262253.65,-0.21
2026-07-13,1072264194.22,1054623965.98,1347316.41,14231233.73,-31019.92
2026-07-14,1069098592.57,1032589651.98,-3165601.64,11745716.58,-2485517.15
2026-07-15,1060187849.06,1073153383.77,-8910743.52,11745716.58,0.00
2026-07-16,1060111013.52,1078770095.91,-76835.53,11745716.58,0.00
2026-07-17,1053294690.56,1050499141.11,-6816322.96,11745716.58,0.00
2026-07-18,1046448253.17,1040520852.11,-6846437.39,11384157.49,-361559.09
2026-07-19,1045591506.09,1050267397.66,-856747.08,11384157.49,0.00
2026-07-20,1044875408.49,1054444351.93,-716097.60,11384157.49,0.00
2026-07-21,1043667491.47,1060337212.80,-1207917.01,11384157.49,0.00
2026-07-22,1041551955.82,1070897013.30,-2115535.65,11384157.49,0.00
2026-07-23,1037819412.34,1068163727.88,-3732543.48,11260556.73,-123600.76
2026-07-24,1032454376.13,1039769277.82,-5365036.21,11260556.73,0.00
2026-07-25,1031538814.99,1031700327.02,-915561.15,11124275.89,-136280.83
2026-07-26,1031505544.25,1035841759.43,-33270.74,11124275.89,0.00
2026-07-27,1029718288.63,1058475693.63,-1787255.62,11124275.89,0.00
2026-07-28,1026100028.00,1027875532.88,-3618260.63,11124275.89,0.00
2026-07-29,1022590761.23,1034601069.19,-3509266.77,11124275.89,0.00
2026-07-30,1018307063.10,1025167546.06,-4283698.13,11124275.89,0.00
2026-07-31,1017870498.02,1035382859.60,-436565.08,11124275.89,0.00
