date_utc,aave_v3_constant_price_total_usd,aave_v3_actual_total_supply_usd,aave_v3_net_supply_change_usd,aave_v3_weeth_constant_price_supply_usd,aave_v3_weeth_net_supply_change_usd
2026-07-01,118301060.94,116383684.58,-1065726.67,684411.02,0.00
2026-07-02,109014779.56,107382164.02,-9286281.37,684444.65,33.62
2026-07-03,108659548.91,107833603.55,-355230.65,684444.65,0.00
2026-07-04,113399790.05,113525825.23,4740241.14,684444.65,0.00
2026-07-05,113906255.98,113293374.00,506465.92,684444.65,0.00
2026-07-06,115298166.43,130184721.01,1391910.45,684444.65,0.00
2026-07-07,112001812.22,111802331.93,-3296354.20,684444.65,0.00
2026-07-08,103897328.08,103929333.39,-8104484.14,601932.15,-82512.50
2026-07-09,99040470.10,98888370.10,-4856857.98,601932.15,0.00
2026-07-10,97679107.54,97527899.61,-1361362.56,601932.15,0.00
2026-07-11,96989991.01,112820917.19,-689116.53,601932.15,0.00
2026-07-12,97700527.62,97813856.89,710536.62,601932.15,0.00
2026-07-13,98892807.63,99033541.00,1192280.01,601932.15,0.00
2026-07-14,100789229.37,100660678.86,1896421.75,601932.15,0.00
2026-07-15,98771275.17,114315378.40,-2017954.20,601932.15,0.00
2026-07-16,99312830.49,115063403.91,541555.31,601932.15,0.00
2026-07-17,100046660.64,115461054.97,733830.15,601932.15,0.00
2026-07-18,101158635.01,116443533.83,1111974.37,601932.15,0.00
2026-07-19,84404763.54,99885378.43,-16753871.47,601932.15,0.00
2026-07-20,85248575.72,100812165.02,843812.18,601931.94,-0.21
2026-07-21,84910713.82,100622792.18,-337861.90,601931.94,0.00
2026-07-22,85143982.26,100966851.94,233268.44,601931.94,0.00
2026-07-23,86892781.65,102767745.81,1748799.38,601931.94,0.00
2026-07-24,86711653.23,102120030.41,-181128.42,601931.94,0.00
2026-07-25,86354756.80,101981860.71,-356896.43,601931.94,0.00
2026-07-26,86532279.94,102177213.01,177523.14,601931.94,0.00
2026-07-27,85688414.87,101281140.10,-843865.07,601931.94,0.00
2026-07-28,86243598.85,102102696.16,555183.97,601931.94,0.00
2026-07-29,89253025.48,105182115.94,3009426.63,601931.94,0.00
2026-07-30,90925705.17,91364614.34,1672679.70,601931.94,0.00
2026-07-31,88771099.03,104887882.51,-2154606.15,601931.94,0.00
